type,template_id,source,flesch,words,confidence,latency_ms,hallucination,output
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,1,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
point_in_time,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,1,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,0,False,
intervals,error,error,0.0,0,0.00,1,False,
